Title,location,Job Description,Compensation,Employment Type,URL 
Earn Rs.30000/- every month from home - Simple Data Entry Jobs & C,,"
        
Are You Searching for Part Time Jobs, Work From Home Jobs Without Investment ??
This is the Best Place for you to earn from Home without any type of Investment,
Data Entry Jobs,
Copy Paste Jobs,
Ad Posting Jobs,
Form Filling Jobs,
Survey Jobs, etc.,

Basic Computer Knowledge is Enough for doing this Jobs..
No Target..
No Age limit (Students, Housewives, Employees, Everyone can work)..
No Time Limit (Day & Night Work Available)
Computer and Internet connection is necessary..
You can do this work from Android Mobile..
Daily - Weekly - Monthly Payment Mode..
Payment Mode is Your Choice..

Please Watch DEMO WORK video in our Website to Start the Work Immediately..
Visit : ( www.indianonlinejobs.com )

Contact : 90433 80999 (One Miss Call Will Provide You Job Details)

All the Best .. Feel free to Contact us
    ",1000-1500,part-time,https://bangalore.craigslist.org/wri/d/earn-rs30000-every-month-from-home/6759436894.html
Php Training With Placements Assurance, (rt nagar),"
        
100% Guaranteed JOB Support. Learn Programming language Courses.

PHP recursive acronym for PHP: Hypertext Pre-processor is a widely-used open source general-purpose scripting language that is especially suited for web development and can be embedded into HTML.

PHP is commonly used by people who want to build a simple, dynamic website quickly and effortlessly. Since its debut in 1995, it s become an extremely popular choice for web developers.

So popular, in fact, that roughly 80% of all websites use it now, including many Fortune 500 companies and top technology start-ups.

By the end of this track, you ll have basic programming knowledge to build your first PHP websites.

If a candidate has mastered PHP, gaining knowledge of languages and ideas like Python, Ruby, machine learning, big data

For further enquiry contact us
9880900247
Enquiry at tevolettechnologiesdotcom

    ",Php Training With Placements Assurance,full-time,https://bangalore.craigslist.org/edu/d/php-training-with-placements-assurance/6759439969.html
Web/App developer (HTML5&PHP or React), (Bangalore),"
        
We are an international web/app development team taking BPO orders over the world. 
Currently we started our branch office in Bengaluru. 
We're looking for freelancing web/App developers for long-term cooperation.

Requirement:

1. HTML5/PHP (Web) or React (Android)
2. Wordpress Experience
3. Fluent level in English

Please hit me up if you have any interest. Let's have a discussion.
    ","1,00,000 ~ 20,00,000 INR per Case",employee's choice,https://bangalore.craigslist.org/web/d/web-app-developer-html5php-or-react/6759632861.html
TRAINING WITH JOB GUARANTEE, (rt nagar),"
        
TRAINING in Java, Php, Python, Data Analystic

With

Certification & 100% Job Guarantee



Eligibility : BE, B-TECH, M-TECH, BCA, MCA, BSc can apply.


Why choose EVOLET Technologies 

- Technology Training.

- Softskills Traininig.

- Internship.

- Certificate.

- Placement Assistance

For Registration CONTACT : 9880900247

    ",TRAINING WITH JOB GUARANTEE,full-time,https://bangalore.craigslist.org/edu/d/training-with-job-guarantee/6759439702.html
Technical Communication course for BA Graduates, (Online),"
        
100-hour expert-curated curriculum

Weekly 1-on-1 mentor calls and project reviews

Build an online portfolio to share with employers

Real-world projects for your portfolio

Live Office Hours (weekly)

Certificate of completion
    ",Cost: Rs. 5000,employee's choice,https://bangalore.craigslist.org/sof/d/technical-communication-course-for-ba/6759869395.html
Expert Content Writer,,"
        
We are now hiring writers and editors to work for our organization.

Pay starts at $10 per 100 words for writers and $5 per 100 words for editors. You will be assistant to the primary writer/producers to handle film productions. You will be involved with a film festival as well. Must have excellent computer skill, good English writing, comfortable with social media/website maintenance and Graphic work is a plus and will be some pay. 

Whom We are looking for:
The ideal copywriter will have native-level English writing skills and is excited to write high-quality, SEO-driven content.
Our clientele is constantly evolving. As such, we produce content for these and many other industries/verticals:
Fashion (both mass market and luxury)
Skincare & Beauty
Tech & Software
Personal Finance & Investing**
Law (family law, product liability, divorce, etc.)**
Education
Home Improvement
Automobiles & Motorcycles (OEM and aftermarket accessories)
Health and Wellness**
Medical / Clinical**
Digital Marketing
SEO / PR / Advertising / Marketing**

Note: Some of our writers who work between 20 to 25 hours per week can earn up to $500 in a single payment period.
Writers are paid on the 1st and 15th of every month.
    ",$10 per 100 words,full-time,https://bangalore.craigslist.org/wri/d/expert-content-writer/6759876099.html
capgemini Interview Drive at edrishyaa IT India pvt ltd, (Coimbatore),"
        
Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person: sindhu
Contact number:  


Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",sap consultant,full-time,https://bangalore.craigslist.org/edu/d/capgemini-interview-drive-at-edrishyaa/6760251659.html
Sydney Guardall Locksmith., (Sydney),"
        
Guardall has been distributing top-quality, reliable and trusted electronic & mechanical safe lock solutions since 2006. With more than 150 lock systems, we are one of the world's most extensive lock technology distributors. With a reputation for customer-centric solutions that work flawlessly, we continue to lead the way in the vault market.
    ","Guardall has been distributing top-quality, reliable and trusted electronic & mechanical safe lock solutions.",full-time,https://bangalore.craigslist.org/sec/d/sydney-guardall-locksmith/6760290527.html
Requirement for Relationship Manager, (Bangalore),"
        
We are looking out for Relationship Managers
Company Name:- Credit Sudhaar Services Pvt Ltd
Job Responsibilities: 
1. To deliver the desired revenue target numbers. 
2. Cross-Selling to existing customers & Acquisition of new customers. 
3. Preparing and maintaining Sales Call reports and all relevant MIS. 
4. To identify potential HNI clients through referral networks. 
5. To execute monthly sales plan to acquire large prospective clients and ensure regular contact with all mapped clients through regular weekly / monthly Calls. 
6. Daily tracking & follow-ups 
7. To ensure 100% client penetration for business sourced by building relationships & enabling increase in share of wallet & revenues. 
Minimum Experience- Fresher or Experienced 
Salary: Upto Rs 1.80 to 2.40 Lacs p.a. + Variable/Incentives 
5 days of working, Day Shift
Good communication skills is mandatory 
For more details about the company logon to our website- www.creditsudhaar.com
Address : 
Credit Sudhaar Services Pvt Ltd,
105, Globe house, 1st Floor
Richmond Circle, 
Bangalore - 560025,
Landmark - Beside Herbal Life    
Contact Person:
Ashwita Shetty
HR - Credit Sudhaar
Ph : 08049124409 / 08049124400
Phone:  



    ",Upto 2.40 Take Home Salary + Incentives,full-time,https://bangalore.craigslist.org/acc/d/requirement-for-relationship-manager/6760290424.html
"Magazine, Post Card & Brochure Ad Designer Needed ASAP"," (Wisconsin, USA)","
        
Looking for an independent typesetting and design person to do magazine ads, online ads, post cards and brochures.

MUST BE:

Highly experienced with InDesign, Illustrator and Photoshop
A creative artist - with an eye for design - again, must be creative not just a typesetter
Years of experience
Good with photo shop for tweaking photos and logos
Logo design experience
English - must be able to communicate over skypes
experience doing ads for american businesses
Will send design and ideas - you take a creative license and make it look good
Quick turn around is a must
Please send links or copies of your work

Will paypal - pay by the hour or by job

You will send final to me EM and then load full typesetting file online cloud - so we can make final tweaks

Again, you must be able to take chicken shit and make it into chicken salad

When responding please include as many examples of newspaper or magazine type ad and marking brochure examples as possible.

I am a salesperson with 35 years of publishing experience and have lots of clients looking for typesetting and design.  I am very high tech so communicating will be easy if you are good at what you do.

I have a programmer that does all my wordpress site programing in India and it works great as he is very very good and I understand the time zone difference. I give him the work early morning his time and he gets it back to me later that night his time - works perfect

Prefer to work with one individual as I want to communicate with the same person and have the same person do my work each time

Have work now

Will send a test to see how you do - so, I am ready if you are
    ",Pay by the hour - paypal,part-time,https://bangalore.craigslist.org/mar/d/magazine-post-card-brochure-ad-designer/6760915447.html
Business development executive - Lead Generation, (Business development executive - Lead Generation),"
        
Education: Any Degree 
Experience: 1- 5 Years in any international voice process
Designation: Business development executive - Lead Generation
Process: Voice Process - International (Inbound and Outbound)
Work Location: Mysuru; Full Time    
Few Points:
• Job Location: Mysuru  
• Interview: Direct walk in and telephonic 
• Immediate Start 
• We can look from any companies
• Multiple Positions Opened
• Proven work experience in any voice process or similar role
• Proven work experience in voice process - Inbound, Outbound, Sales, Survey, Lead generation   
• Familiarity with telephonic communication, telephone etiquette, reporting, documentation, follow ups, sales, survey, lead generation, enquires handling, basic computer skills. 
• Experience with customer support
• Good knowledge of communication 
• Demonstrable leadership abilities
• Solid communication skills
    ",-,full-time,https://bangalore.craigslist.org/sls/d/business-development-executive-lead/6760301350.html
LOOKING FOR AGENTS AND PARTNERS! WE ARE GIJC, (Tokyo-based exporter),"
        
Do you want to sell Brand New Satake Agricultural machinery from Japan in your area? Or do you want to import for your business?

Be our Partner or Agent! We provide commission! 
We are GIJC, a registered exporter based in Tokyo, Japan! 
We have a variety of brand-new Satake agricultural machinery!
Interested? Please visit us WWW.GIJC.JP or contact us at  
! 
Thank you very much!    ",Commission-based,employee's choice,https://bangalore.craigslist.org/sls/d/looking-for-agents-and-partners-we-are/6761049131.html
Job Fair in Pan India, (Gurgaon),"
        
Unemployment is a major concern in all the parts of India. At present, the situation of our country is good and bad at the same time. Job fair in PAN India is hence organised for the accomplishment of employment for all. We at Bright bharat work for the all round development of each and every section of the society in India. We are a team of brilliant minded people ensuring exert counselling and implementation of placement procedures for deserving candidates.    ",http://brightbharat.in/contact-us.php,full-time,https://bangalore.craigslist.org/edu/d/job-fair-in-pan-india/6761130662.html
Helper/cook, (bangalore),"
        
We are looking for Helper/Cook for Our Multi cuisine Kitchens for immediate joining.
Job location - Kormangala, HSR layout, BTM layout and Whitefield.    ","We are looking for Helper/Cook for Our Multi cuisine Kitchens for immediate joining. Job location - Kormangala, HSR layout, BTM layout and Whitefield.",full-time,https://bangalore.craigslist.org/fbh/d/helper-cook/6761139901.html
Human Resource Executive, (MG Road),"
        
Role: Recruitment Executive
End to End Recruitment: Resume sourcing / Screening/ Scheduling - IT Only.
Desired:
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Recruiter will be responsible for lining up candidates for open positions
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining reports.
Highlights: We support US MNCs across India.
Experience: Up to 2 years. ( Freshers with good communication skills welcome)
Compensation: Up to 2.5 Lakhs/ Year
URL: www.icsconsultancy.com
    ",Compensation: Up to 2.5 Lakhs/ Year. Fixed + Variable.,full-time,https://bangalore.craigslist.org/hum/d/human-resource-executive/6761152607.html
Recruitment Internship (Fresher)," (MG Road, Bangalore)","
        
Role: Recruitment Intern

Resume sourcing / Screening/ People Interaction.

Desired:
* Good Communication skills.
* Understanding of basics of Computers/ internet.
* Willingness to interact with engineers over the phone.
* Understanding of Social Media 

Career profile:
* Working on Job Portals, Job Posting, Advertisement through Social Media.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining reports.

Highlights: We support US MNCs across India.
Experience: Fresher !
URL: www.icsconsultancy.com  

    ",Internship Opportunity. Good Candidates will be compensated well.,employee's choice,https://bangalore.craigslist.org/hum/d/recruitment-internship-fresher/6761156487.html
Urgent Company Secretary(CS) Required in Indore, (Indore),"
        
Job Skills: Candidates should possess diplomacy, meticulous attention to detail, good numerical, organisational and time management skills and a genuine interest in 

business. Excellent computing, secretarial, interpersonal, teamworking and written/verbal communication skills are also important.

Contact here: Mr. Nilesh Vyas, Mobile number (+91) 
 -  
 , Web https://mybookvilla.com    ",Depends upon qualification,full-time,https://bangalore.craigslist.org/acc/d/urgent-company-secretarycs-required-in/6761167086.html
Earn Rs.2000/- daily from home - Govt Registered Job, (Karnataka),"
        

​Are You Searching for Part Time Jobs, Work From Home Jobs Without Investment ??
This is the Best Place for you to earn from Home without any type of Investment,
Data Entry Jobs,
Copy Paste Jobs,
Ad Posting Jobs,
Form Filling Jobs,
Survey Jobs, etc.,

Basic Computer Knowledge is Enough for doing this Jobs..
No Target..
No Age limit (Students, Housewives, Employees, Everyone can work)..
No Time Limit (Day & Night Work Available)
Computer and Internet connection is necessary..
You can do this work from Android Mobile..
Daily - Weekly - Monthly Payment Mode..
Payment Mode is Your Choice..

Please Watch DEMO WORK video in our Website to Start the Work Immediately..
Visit : ( www.indianonlinejobs.com )

Contact : 90433 80999 (One Miss Call Will Provide You Job Details)

All the Best .. Feel free to Contact us

    ",Rs.15000 to 20000,part-time,https://bangalore.craigslist.org/lgl/d/earn-rs2000-daily-from-home-govt/6762734683.html
Online promotion work at home," (Bangalore,Karnataka)","
        
Crazy Holiday,one of the fast growing companies in travel and tourism, is providing home based business opportunity. We need committed and results oriented people who can join hands with us and contribute in the promotion and success of our business. Earn huge benefits in form of income (weekly /monthly), Freebies and an excellent opportunity to build your own network and visibility in the tourism sector. Come back and work in a no target, no selling, no work pressure, no time boundation and no boss environment. Kindly provide your Email Id while replying. Thank you. 9741442567    ",5000 to 6000 weekly,part-time,https://bangalore.craigslist.org/mar/d/online-promotion-work-at-home/6762735212.html
Independent 26 years old male available in women's/couple's service.,,"
        
Independent 26 years old male available in women's/couple's service.

I am a 26 years old, working in bangalore. The ones seeking satisfaction/friendship/casual encounters/dating/hang out can reach out to me to have safe encounters with both of ours privacy in concern. I am ready for any kind of service a woman is looking for.    ",to be discussed,employee's choice,https://bangalore.craigslist.org/csr/d/independent-26-years-old-male-available/6762994779.html
openings for capgemini, (Coimbatore),"
        
Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person: sindhu
Contact number:  


Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",sap consultant,full-time,https://bangalore.craigslist.org/edu/d/openings-for-capgemini/6763406189.html
openings for capgemini, (Coimbatore),"
        

Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person: sindhu
Contact number:  


Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",sap consultant,full-time,https://bangalore.craigslist.org/edu/d/openings-for-capgemini/6763422899.html
PROJECTS ON SELENIUM-HYBRID ANDROID-LARAVEL-BOOTSTRAP-ARTIFICAL ANAL, (rt nagar),"
        

PROJECTS ON
IEEE MATLAB
IEEE VLSI
IEEE EMBEDDED
IEEE IOT

SELENIUM
HYBRID ANDROID
LARAVEL-BOOTSTRAP
ARTIFICAL ANALYTICS-ROBOTICS
NODE.JS

CONTACT 9880900247
    ",PROJECTS ON SELENIUM-HYBRID ANDROID-LARAVEL-BOOTSTRAP-ARTIFICAL ANAL,full-time,https://bangalore.craigslist.org/edu/d/projects-on-selenium-hybrid-android/6757579756.html
We are Hiring - Earn Rs.15000/- Per month - Simple Copy Paste Jobs,,"
        
Earn Rs.25000/- per month - Simple online Jobs - Are You Looking for Home-Based Online Jobs? - Are You a Student, Housewife, jobseeker ? - Are you ready to Work 1 to 2 Hours daily Online? - Do You need Guaranteed Payment Monthly? Then this is for You, - Clicking on their Advertisement E-mails. - Submitting their Data's online. - Reading their Advertisement Sms. - Filling Forms on their websites, etc,. FREE to Join >> http://dailyonlinejobs.com 
DPJ1970890  18 11 2018 14:25:29    ",0,part-time,https://bangalore.craigslist.org/mar/d/we-are-hiring-earn-rs15000-per-month/6751855043.html
We are Hiring - Earn Rs.15000/- Per month - Simple Copy Paste Jobs, (All india),"
        
Earn Rs.25000/- per month - Simple online Jobs - Are You Looking for Home-Based Online Jobs? - Are You a Student, Housewife, jobseeker ? - Are you ready to Work 1 to 2 Hours daily Online? - Do You need Guaranteed Payment Monthly? Then this is for You, - Clicking on their Advertisement E-mails. - Submitting their Data's online. - Reading their Advertisement Sms. - Filling Forms on their websites, etc,. FREE to Join >> http://dailyonlinejobs.com 
DPJ1875071  18 11 2018 17:23:49    ",Online,part-time,https://bangalore.craigslist.org/wri/d/we-are-hiring-earn-rs15000-per-month/6751875150.html
Eminent Minds is Hiring for  HR Recruiter, (kengari satalite town),"
        
* Responsible for End to End Recruitment of IT & non IT profile.
* Knowledge of Job Portals, Job Posting, Advertisement through Social Media
* Daily Follow-Up, Line-Up, Mass Hiring, Candidate will be responsible for lining up candidates for open positions
* Responsible for on boarding & Induction.
* Develop and monitor sourcing plans.
* Head hunting, Searching CV's from Job portals & generating references
* Creating & maintaining Data base
    ",10000 TO 20000,full-time,https://bangalore.craigslist.org/hum/d/eminent-minds-is-hiring-for-hr-recruiter/6752499482.html
"Java, Hadoop, Data analytics with Python|| Intern||Projects|| Training", (Bangalore),"
        
Hello guys,

We are conducting Campus Drive Training Program based on our Clients requirement for Java, Big Data Hadoop and Data analytics with Python at affordable prices. (Charges will be applicable)

We also provide internships and project assistance for final year students || IEEE projects || MBA Projects || BE/BTec, ME/MTech, BCA, MCA, Diploma. (Charges will be applicable for internship and projects)

Job assurance is provided once training/internship is completed with a package of 1.2L to 2.4 L PA

Interested?? Inbox me or drop your contact number in the comment box and we will get back to you soon.

#Java #Advanced_Java #Big_data_hadoop #Data_Analytics_with_Python #Internship #Projects #Training #Campus_drive #Internships #Placements #Job_assurance #Bangalore #Evolet_Technologies #affordable_prices #chargeable #dont_miss #opportunity #live_projects #Hurry_up    ","Internship, training and project assistance is provided. Charges are applicable. Job assurance is provided.",part-time,https://bangalore.craigslist.org/sof/d/java-hadoop-data-analytics-with-python/6752505351.html
BPO Non Voice Process /  Voice Process, (Kengeri satellite town),"
        
Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
19-11-2018

    ",80000-350000LPA,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6752525867.html
We are hiring for Voice Process, (kengari satalite town),"
        
Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
    ","Salary: INR 80,000 - 3.5 LPA.",full-time,https://bangalore.craigslist.org/csr/d/we-are-hiring-for-voice-process/6752523239.html
BPO Non Voice Process /  Voice Process, (Kengeri Satellite Town),"
        
Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
19-11-2018

    ",80 to 3.5LPA,full-time,https://bangalore.craigslist.org/csr/d/bpo-non-voice-process-voice-process/6752547397.html
SEO Traning In Ranchi, (Ranchi),"
        
Search engine optimization is more than just increasing rankings of your websites. 

on-page and off-page optimization, website management, link building, URL management, planning and marketing a website, and a full round of analytics training.

You will learn to apply the latest tools, techniques and concepts while gaining hands-on experience through interactive projects and simulation exams.

This course will help you differentiate your websites from competitors and prepare you to influence the strategic growth and decision-making for your company's brand. 

For More Informations Visit us:- https://indorewebexpert.com
Call us:- 9570820546    ","You will learn to apply the latest tools, techniques and concepts while gaining hands-on experience through interactive projects and simulation exams.",full-time,https://bangalore.craigslist.org/edu/d/seo-traning-in-ranchi/6752549275.html
Writers for Singaporeonlineo.com, (Singapore),"
        
Need Blog Writers for http://www.Singaporeonlineo.com
    ",As Per Industry,full-time,https://bangalore.craigslist.org/wri/d/writers-for-singaporeonlineocom/6752684507.html
Epos software for dry cleaners/laundry services, (Anywhere),"
        
Greetings

We are looking for an experienced team to help us develop a new version of our epos software for dry cleaners/laundry services

It will need to have the main functions for dry cleaner stores

scheduling
garment tracking
pos functions
customer database
printer support

We have a very large budget and are looking for a long term partner in software development

If you have written previous software similar before we can look at purchasing the complete source code

We also need a database which can price products with different proportions for different photo services. It should include production orders, invoicing and make reports per customer and per period.

Please send Skype id, price, delivery date and portfolio of previous work.



Many thanks

Dave

    ",by agreement,contract,https://bangalore.craigslist.org/sof/d/epos-software-for-dry-cleaners-laundry/6753044635.html
BPO Non Voice Process /  Voice Process, (Kengeri Satellite Town),"
        
Jobs offered

We currently have a requirement for a Inbound/outbound Voice, non voice, semi voice process for International and domestic BPO. We Need candidate who can speak excellent fluent English for international process and Average English with Hindi south Indian Language for domestic process

Base Location: Bangalore

REQUIREMENTS:
*We hire inbound process for international voice process, for Graduates /Under graduates Fresher and Experience upto 5 years with salary package up to 30k + Good Incentives with 5 days of working and 2 days of fixed off and 2 Way cab.
*We hire Top International ITES Companies for US,UK, Day Shift.
*We also have opening for Customer support and SR Customer support (Voice process/ Non Voice )
*Clarity in speech and fluency in communication in English
*Presentable and willingness to work in night shift and Five/Six days working 
*Should be able to serve customers. 
*In case you are not interested or available at present, I will appreciate if you can forward this mail to your friends/colleagues whom you think will be interested to take up this position.
*Salary: INR 80,000 - 3.5 LPA.

Contact mobile-  
 *By-SKGADE3
20-11-2018

    ",80 to 3.5LPA,full-time,https://bangalore.craigslist.org/ofc/d/bpo-non-voice-process-voice-process/6753329005.html
"Java, Hadoop, Data analytics||Training||Projects in Bangalore", (Bangalore),"
        
We are conducting Campus Drive Training Program based on our Clients requirement for Java, Big Data Hadoop and Data analytics with Python at affordable prices. (Charges will be applicable)

We also provide internships and project assistance for final year students || IEEE projects || MBA Projects || BE/BTec, ME/MTech, BCA, MCA, Diploma. (Charges will be applicable for internship and projects)

Job assurance is provided once training/internship is completed with a package of 1.2L to 2.4 L PA

Limited seats available right now.    ","Internship, training and project assistance is provided. [Charges are applicable] Job assurance is provided.",part-time,https://bangalore.craigslist.org/sof/d/java-hadoop-data/6753344175.html
Urgent Freelance Copywriter Required Full Time,,"
        
I'm looking for a full-time freelance copywriter

Important Note: Required Only Full-Time Writer - Not someone who does writing as a side work or part-time. I need someone to be working/online from noon to late night. 

I need a well educated and professional writer who knows & understand American English and can writer solid articles.

Please send me your proposal with your resume and writing samples. 

Looking forward to your proposals.

Thanks.    ",60/- INR to 80/- INR per 100 words,full-time,https://bangalore.craigslist.org/wri/d/urgent-freelance-copywriter-required/6753390852.html
Interview Drive at eDrishyaa IT India Pvt Ltd, (coimbatore),"
        
Come, Surge up your Career with SAP!!!

Hire and Train SAP Consultant.

Limited Period offer: Hurry, offer expires soon. 

Hire and Train program: SAP ABAP, FI, HR, SD, PP, MM

A leading Multi-National Consulting Company is hiring certified SAP debut consultants for its Mumbai, Bangalore and Pune locations. 

The module requirements are:
1) SAP ABAP (Advanced Business Application Programming) 
2) SAP FI (Financial Accounting)
3) SAP HCM (Human Capital Management)
4) SAP SD (Sales and Distribution)
5) SAP PP (Production Planning) 
6) SAP MM (Material Management)

Note: 
Candidates should have no gaps in their education
Professional experience of 0 - 3.5 years (max) is acceptable.
Compensation Package: 3.4L (non-negotiable)

For more information, please visit our office with your updated resume
Monday to Saturday (10 am to 6 pm) 

Contact person: Kowsika
Contact number:  


Office address is as below:

eDrishyaa IT India Pvt Ltd 	
SAP Authorized Academy 
Tristar Towers,West Wing, 2nd Floor,
#657, Avinashi Road,
Coimbatore - 641037


    ",SAP consultant,full-time,https://bangalore.craigslist.org/edu/d/interview-drive-at-edrishyaa-it-india/6753417457.html
We will buy your WPF and UWP apps, (Remote),"
        
We are a US company interested in buying your WPF or UWP apps. If your WPF and/or UWP apps had real customer interest in the past and are no longer selling well, we are still interested.

Sell us your WPF or UWP apps for USD$100.

Email us at ""acquisition s@freytag.us"" and tell us about your app.    ",USD$100 per app,contract,https://bangalore.craigslist.org/sof/d/we-will-buy-your-wpf-and-uwp-apps/6753491206.html
Best Part Time Home Based Online Data Entry Jobs, (banglore),"
        
Simple Part Time Full Time Home Based Data Entry Jobs, Home Based Typing Jobs, Work At Home, Data Entry Typist, Home Based SMS Sending Jobs, Call Center Jobs, Branch Employs,Home Based Data Entry, Data Entry Operator, For More details Call 07569385888 Or visit company website- www.evurionlinejobs.com
* You can earn money by spending 2-6 hours a day at home
* This work can be done from any location in india
* Should be at least Higher Secondary passed.
* Interested candidates APPLY NOW in company website- 
* Your payment will be transferred to your bank account which you register with us. www.evurionlinejobs.com
* It is not a target base job.
* Salary : Rs.8000 to Rs.17500 Per Months

For more details Call 07569385888 Or visit company websitewww.evurionlinejobs.com
COPY PAST : https://youtu.be/mzSWCn29-k8
    ",650,part-time,https://bangalore.craigslist.org/csr/d/best-part-time-home-based-online-data/6753486194.html
